2026-06-22 10:02:52.933 [Thread-P3] INFO  com.mp3.desktop.Programme3 - === Demarrage du Programme 3 ===
2026-06-22 10:02:52.951 [Thread-P3] INFO  com.mp3.desktop.Programme3 - Programme 3 en attente de messages sur la queue queue_metadata
2026-06-22 10:09:09.225 [Thread-P3] INFO  com.mp3.desktop.Programme3 - === Demarrage du Programme 3 ===
2026-06-22 10:09:09.236 [Thread-P3] INFO  com.mp3.desktop.Programme3 - Programme 3 en attente de messages sur la queue queue_metadata
2026-06-22 10:11:24.213 [Thread-P3] WARN  com.mp3.desktop.Programme3 - Programme 3 interrompu
2026-06-22 10:28:39.452 [Thread-P3] INFO  com.mp3.desktop.Programme3 - === Demarrage du Programme 3 ===
2026-06-22 10:28:39.462 [Thread-P3] INFO  com.mp3.desktop.Programme3 - Programme 3 en attente de messages sur la queue queue_metadata
2026-06-22 10:28:39.466 [pool-1-thread-21] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : ?Happier Than Ever
2026-06-22 10:28:39.639 [pool-1-thread-21] INFO  com.mp3.desktop.Programme3 - Nouvelle chanson detectee. Envoi a l'API : ?Happier Than Ever
2026-06-22 10:28:39.807 [pool-1-thread-21] INFO  com.mp3.desktop.Programme3 - Chanson '?Happier Than Ever' ajoutee avec succes (ID=1.0)
2026-06-22 10:28:39.808 [pool-1-thread-21] INFO  com.mp3.desktop.Programme3 - Succes de l'API. Suppression du fichier d'origine : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\Billie Eilish - Happier Than Ever (Official Music Video)(MP3_160K).mp3
2026-06-22 10:28:39.844 [pool-1-thread-21] INFO  com.mp3.desktop.Programme3 - Fichier supprime : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\Billie Eilish - Happier Than Ever (Official Music Video)(MP3_160K).mp3
2026-06-22 10:28:39.847 [pool-1-thread-22] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : ?HATRAIZA / AZA AVELA - REKO
2026-06-22 10:28:39.854 [pool-1-thread-22] INFO  com.mp3.desktop.Programme3 - Nouvelle chanson detectee. Envoi a l'API : ?HATRAIZA / AZA AVELA - REKO
2026-06-22 10:28:39.867 [pool-1-thread-22] INFO  com.mp3.desktop.Programme3 - Chanson '?HATRAIZA / AZA AVELA - REKO' ajoutee avec succes (ID=2.0)
2026-06-22 10:28:39.867 [pool-1-thread-22] INFO  com.mp3.desktop.Programme3 - Succes de l'API. Suppression du fichier d'origine : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\HATRAIZA _ AZA AVELA - REKO(MP3_160K).mp3
2026-06-22 10:28:39.898 [pool-1-thread-22] INFO  com.mp3.desktop.Programme3 - Fichier supprime : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\HATRAIZA _ AZA AVELA - REKO(MP3_160K).mp3
2026-06-22 10:28:39.899 [pool-1-thread-23] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : ?Misia
2026-06-22 10:28:39.906 [pool-1-thread-23] INFO  com.mp3.desktop.Programme3 - Nouvelle chanson detectee. Envoi a l'API : ?Misia
2026-06-22 10:28:39.917 [pool-1-thread-23] INFO  com.mp3.desktop.Programme3 - Chanson '?Misia' ajoutee avec succes (ID=3.0)
2026-06-22 10:28:39.917 [pool-1-thread-23] INFO  com.mp3.desktop.Programme3 - Succes de l'API. Suppression du fichier d'origine : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\MISIA - REKO(MP3_160K).mp3
2026-06-22 10:28:39.946 [pool-1-thread-23] INFO  com.mp3.desktop.Programme3 - Fichier supprime : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\MISIA - REKO(MP3_160K).mp3
