2026-07-01 08:04:45.802 [pool-1-thread-453] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : ?Happier Than Ever
2026-07-01 08:04:45.817 [pool-1-thread-453] INFO  com.mp3.desktop.Programme3 - Nouvelle chanson detectee. Upload du fichier + metadonnees vers l'API : ?Happier Than Ever
2026-07-01 08:04:45.969 [pool-1-thread-453] INFO  com.mp3.desktop.Programme3 - Chanson '?Happier Than Ever' uploadee avec succes
2026-07-01 08:04:45.970 [pool-1-thread-453] INFO  com.mp3.desktop.Programme3 - Succes de l'API. Suppression du fichier d'origine : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\Billie Eilish - Happier Than Ever (Official Music Video)(MP3_160K).mp3
2026-07-01 08:04:46.003 [pool-1-thread-453] INFO  com.mp3.desktop.Programme3 - Fichier supprime : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\Billie Eilish - Happier Than Ever (Official Music Video)(MP3_160K).mp3
2026-07-01 08:04:46.006 [pool-1-thread-458] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : ?HATRAIZA / AZA AVELA - REKO
2026-07-01 08:04:46.011 [pool-1-thread-458] INFO  com.mp3.desktop.Programme3 - Nouvelle chanson detectee. Upload du fichier + metadonnees vers l'API : ?HATRAIZA / AZA AVELA - REKO
2026-07-01 08:04:46.143 [pool-1-thread-458] INFO  com.mp3.desktop.Programme3 - Chanson '?HATRAIZA / AZA AVELA - REKO' uploadee avec succes
2026-07-01 08:04:46.143 [pool-1-thread-458] INFO  com.mp3.desktop.Programme3 - Succes de l'API. Suppression du fichier d'origine : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\HATRAIZA _ AZA AVELA - REKO(MP3_160K).mp3
2026-07-01 08:04:46.161 [pool-1-thread-458] INFO  com.mp3.desktop.Programme3 - Fichier supprime : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\HATRAIZA _ AZA AVELA - REKO(MP3_160K).mp3
2026-07-01 08:04:46.161 [pool-1-thread-460] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : ?Louane - Maman (2015) Official Music Video
2026-07-01 08:04:46.170 [pool-1-thread-460] INFO  com.mp3.desktop.Programme3 - Nouvelle chanson detectee. Upload du fichier + metadonnees vers l'API : ?Louane - Maman (2015) Official Music Video
2026-07-01 08:04:46.220 [pool-1-thread-460] INFO  com.mp3.desktop.Programme3 - Chanson '?Louane - Maman (2015) Official Music Video' uploadee avec succes
2026-07-01 08:04:46.220 [pool-1-thread-460] INFO  com.mp3.desktop.Programme3 - Succes de l'API. Suppression du fichier d'origine : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\Louane - Maman (2015) Official Music Video(MP3_160K).mp3
2026-07-01 08:04:46.235 [pool-1-thread-460] INFO  com.mp3.desktop.Programme3 - Fichier supprime : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\Louane - Maman (2015) Official Music Video(MP3_160K).mp3
2026-07-01 08:04:46.238 [pool-1-thread-461] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : Matsiro kosa ny nanaovan_i Fy Rasolofoniaina ny hiran_ny tarika _Zay teto.(480P_SD)
2026-07-01 08:04:46.240 [pool-1-thread-461] INFO  com.mp3.desktop.Programme3 - Nouvelle chanson detectee. Upload du fichier + metadonnees vers l'API : Matsiro kosa ny nanaovan_i Fy Rasolofoniaina ny hiran_ny tarika _Zay teto.(480P_SD)
2026-07-01 08:04:46.330 [pool-1-thread-461] INFO  com.mp3.desktop.Programme3 - Chanson 'Matsiro kosa ny nanaovan_i Fy Rasolofoniaina ny hiran_ny tarika _Zay teto.(480P_SD)' uploadee avec succes
2026-07-01 08:04:46.330 [pool-1-thread-461] INFO  com.mp3.desktop.Programme3 - Succes de l'API. Suppression du fichier d'origine : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\Matsiro kosa ny nanaovan_i Fy Rasolofoniaina ny hiran_ny tarika _Zay teto.(480P_SD).mp3
2026-07-01 08:04:46.355 [pool-1-thread-461] INFO  com.mp3.desktop.Programme3 - Fichier supprime : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\Matsiro kosa ny nanaovan_i Fy Rasolofoniaina ny hiran_ny tarika _Zay teto.(480P_SD).mp3
2026-07-01 08:04:46.359 [pool-1-thread-462] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : ?Misia
2026-07-01 08:04:46.367 [pool-1-thread-462] INFO  com.mp3.desktop.Programme3 - Nouvelle chanson detectee. Upload du fichier + metadonnees vers l'API : ?Misia
2026-07-01 08:04:46.490 [pool-1-thread-462] INFO  com.mp3.desktop.Programme3 - Chanson '?Misia' uploadee avec succes
2026-07-01 08:04:46.491 [pool-1-thread-462] INFO  com.mp3.desktop.Programme3 - Succes de l'API. Suppression du fichier d'origine : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\MISIA - REKO(MP3_160K).mp3
2026-07-01 08:04:46.903 [pool-1-thread-462] INFO  com.mp3.desktop.Programme3 - Fichier supprime : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\MISIA - REKO(MP3_160K).mp3
2026-07-01 08:04:46.906 [pool-1-thread-463] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : ?MITONIA - REKO (Official lyrics video)
2026-07-01 08:04:46.906 [pool-1-thread-463] INFO  com.mp3.desktop.Programme3 - Nouvelle chanson detectee. Upload du fichier + metadonnees vers l'API : ?MITONIA - REKO (Official lyrics video)
2026-07-01 08:04:47.076 [pool-1-thread-463] INFO  com.mp3.desktop.Programme3 - Chanson '?MITONIA - REKO (Official lyrics video)' uploadee avec succes
2026-07-01 08:04:47.076 [pool-1-thread-463] INFO  com.mp3.desktop.Programme3 - Succes de l'API. Suppression du fichier d'origine : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\MITONIA - REKO (Official lyrics video)(MP3_160K).mp3
2026-07-01 08:04:47.099 [pool-1-thread-463] INFO  com.mp3.desktop.Programme3 - Fichier supprime : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\MITONIA - REKO (Official lyrics video)(MP3_160K).mp3
2026-07-01 08:04:47.103 [pool-1-thread-464] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : ?Ny Anaranao
2026-07-01 08:04:47.107 [pool-1-thread-464] INFO  com.mp3.desktop.Programme3 - Nouvelle chanson detectee. Upload du fichier + metadonnees vers l'API : ?Ny Anaranao
2026-07-01 08:04:47.238 [pool-1-thread-464] INFO  com.mp3.desktop.Programme3 - Chanson '?Ny Anaranao' uploadee avec succes
2026-07-01 08:04:47.238 [pool-1-thread-464] INFO  com.mp3.desktop.Programme3 - Succes de l'API. Suppression du fichier d'origine : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\NY ANARANAO - REKO(MP3_160K).mp3
2026-07-01 08:04:47.257 [pool-1-thread-464] INFO  com.mp3.desktop.Programme3 - Fichier supprime : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\NY ANARANAO - REKO(MP3_160K).mp3
2026-07-01 08:04:47.257 [pool-1-thread-305] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : ?Rotoroto
2026-07-01 08:04:47.263 [pool-1-thread-305] INFO  com.mp3.desktop.Programme3 - Nouvelle chanson detectee. Upload du fichier + metadonnees vers l'API : ?Rotoroto
2026-07-01 08:04:47.374 [pool-1-thread-305] INFO  com.mp3.desktop.Programme3 - Chanson '?Rotoroto' uploadee avec succes
2026-07-01 08:04:47.374 [pool-1-thread-305] INFO  com.mp3.desktop.Programme3 - Succes de l'API. Suppression du fichier d'origine : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\ROTOROTO - REKO(MP3_160K).mp3
2026-07-01 08:04:47.398 [pool-1-thread-305] INFO  com.mp3.desktop.Programme3 - Fichier supprime : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\ROTOROTO - REKO(MP3_160K).mp3
2026-07-01 08:04:47.400 [pool-1-thread-453] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : ?Tongasoa
2026-07-01 08:04:47.408 [pool-1-thread-453] INFO  com.mp3.desktop.Programme3 - Nouvelle chanson detectee. Upload du fichier + metadonnees vers l'API : ?Tongasoa
2026-07-01 08:04:47.553 [pool-1-thread-453] INFO  com.mp3.desktop.Programme3 - Chanson '?Tongasoa' uploadee avec succes
2026-07-01 08:04:47.553 [pool-1-thread-453] INFO  com.mp3.desktop.Programme3 - Succes de l'API. Suppression du fichier d'origine : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\TONGASOA - REKO(MP3_160K).mp3
2026-07-01 08:04:47.574 [pool-1-thread-453] INFO  com.mp3.desktop.Programme3 - Fichier supprime : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\TONGASOA - REKO(MP3_160K).mp3
2026-07-01 08:04:55.756 [pool-1-thread-458] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : Bodo
2026-07-01 08:04:55.768 [pool-1-thread-458] INFO  com.mp3.desktop.Programme3 - DOUBLON detecte pour (hash=974ba0fd650459796f8489bdb7a26f05): Bodo. On ne l'envoie pas.
2026-07-01 08:04:55.788 [pool-1-thread-458] INFO  com.mp3.desktop.Programme3 - Fichier supprime : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\Ankino.mp3
2026-07-01 08:04:55.790 [pool-1-thread-460] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : Antanambao
2026-07-01 08:04:55.790 [pool-1-thread-460] INFO  com.mp3.desktop.Programme3 - BLACKLIST - Chanson bloquee : 'Antanambao' (artiste='Bekoto Augustin', genre='Folk'). Suppression du fichier sans envoi API.
2026-07-01 08:04:55.806 [pool-1-thread-460] INFO  com.mp3.desktop.Programme3 - Fichier supprime : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\Antanambao.MP3
2026-07-01 08:04:55.806 [pool-1-thread-461] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : IAO
2026-07-01 08:04:55.806 [pool-1-thread-461] INFO  com.mp3.desktop.Programme3 - BLACKLIST - Chanson bloquee : 'IAO' (artiste='ROSSY', genre='salegy'). Suppression du fichier sans envoi API.
2026-07-01 08:04:55.820 [pool-1-thread-461] INFO  com.mp3.desktop.Programme3 - Fichier supprime : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\IAO.MP3
2026-07-01 08:05:21.193 [Thread-P3] WARN  com.mp3.desktop.Programme3 - Programme 3 interrompu
2026-07-01 08:05:32.036 [Thread-P3] INFO  com.mp3.desktop.Programme3 - === Demarrage du Programme 3 ===
2026-07-01 08:05:32.036 [Thread-P3] INFO  com.mp3.desktop.Programme3 - Blacklist chargee : 0 genre(s) bloques, 0 artiste(s) bloques.
2026-07-01 08:05:32.043 [Thread-P3] INFO  com.mp3.desktop.Programme3 - Programme 3 en attente de messages sur la queue queue_metadata
2026-07-01 08:07:42.114 [pool-1-thread-69] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : Bodo
2026-07-01 08:07:42.212 [pool-1-thread-69] INFO  com.mp3.desktop.Programme3 - DOUBLON detecte pour (hash=974ba0fd650459796f8489bdb7a26f05): Bodo. On ne l'envoie pas.
2026-07-01 08:07:42.229 [pool-1-thread-69] INFO  com.mp3.desktop.Programme3 - Fichier supprime : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\Ankino.mp3
2026-07-01 08:07:42.230 [pool-1-thread-71] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : Antanambao
2026-07-01 08:07:42.236 [pool-1-thread-71] INFO  com.mp3.desktop.Programme3 - Nouvelle chanson detectee. Upload du fichier + metadonnees vers l'API : Antanambao
2026-07-01 08:07:42.361 [pool-1-thread-71] INFO  com.mp3.desktop.Programme3 - Chanson 'Antanambao' uploadee avec succes
2026-07-01 08:07:42.362 [pool-1-thread-71] INFO  com.mp3.desktop.Programme3 - Succes de l'API. Suppression du fichier d'origine : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\Antanambao.MP3
2026-07-01 08:07:42.384 [pool-1-thread-71] INFO  com.mp3.desktop.Programme3 - Fichier supprime : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\Antanambao.MP3
2026-07-01 08:07:42.385 [pool-1-thread-72] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : IAO
2026-07-01 08:07:42.391 [pool-1-thread-72] INFO  com.mp3.desktop.Programme3 - Nouvelle chanson detectee. Upload du fichier + metadonnees vers l'API : IAO
2026-07-01 08:07:42.495 [pool-1-thread-72] INFO  com.mp3.desktop.Programme3 - Chanson 'IAO' uploadee avec succes
2026-07-01 08:07:42.495 [pool-1-thread-72] INFO  com.mp3.desktop.Programme3 - Succes de l'API. Suppression du fichier d'origine : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\IAO.MP3
2026-07-01 08:07:42.520 [pool-1-thread-72] INFO  com.mp3.desktop.Programme3 - Fichier supprime : D:\ITU\S6\Mr Naina\Mp4\mp3-desktop\chanson\IAO.MP3
2026-07-01 08:50:20.318 [Thread-P3] WARN  com.mp3.desktop.Programme3 - Programme 3 interrompu
2026-07-01 08:50:32.464 [Thread-P3] INFO  com.mp3.desktop.Programme3 - === Demarrage du Programme 3 ===
2026-07-01 08:50:32.470 [Thread-P3] INFO  com.mp3.desktop.Programme3 - Blacklist chargee : 0 genre(s) bloques, 0 artiste(s) bloques.
2026-07-01 08:50:32.490 [Thread-P3] INFO  com.mp3.desktop.Programme3 - Programme 3 en attente de messages sur la queue queue_metadata
2026-07-01 09:21:32.755 [Thread-P3] INFO  com.mp3.desktop.Programme3 - === Demarrage du Programme 3 ===
2026-07-01 09:21:32.756 [Thread-P3] INFO  com.mp3.desktop.Programme3 - Blacklist chargee : 0 genre(s) bloques, 0 artiste(s) bloques.
2026-07-01 09:21:32.758 [Thread-P3] INFO  com.mp3.desktop.Programme3 - Limite de duree chargee : 3600 secondes (60 min)
2026-07-01 09:21:32.779 [Thread-P3] INFO  com.mp3.desktop.Programme3 - Programme 3 en attente de messages sur la queue queue_metadata
2026-07-01 09:29:43.456 [pool-1-thread-212] INFO  com.mp3.desktop.Programme3 - <- Metadata recu (P3) : IAO
